"cellid","bestsnr","bestbf","PASSIVE_0_snr","PASSIVE_0_bf","PASSIVE_0","ACTIVE_1_snr","ACTIVE_1_bf","ACTIVE_1","ACTIVE_1_tf","ACTIVE_1_tardist","PASSIVE_1_snr","PASSIVE_1_bf","PASSIVE_1","ACTIVE_2_snr","ACTIVE_2_bf","ACTIVE_2","ACTIVE_2_tf","ACTIVE_2_tardist","ACTIVE_3_snr","ACTIVE_3_bf","ACTIVE_3","ACTIVE_3_tf","ACTIVE_3_tardist","PASSIVE_2_snr","PASSIVE_2_bf","PASSIVE_2","PASSIVE_3_snr","PASSIVE_3_bf","PASSIVE_3","ACTIVE_4_snr","ACTIVE_4_bf","ACTIVE_4","ACTIVE_4_tf","ACTIVE_4_tardist","PASSIVE_4_snr","PASSIVE_4_bf","PASSIVE_4","ACTIVE_0_snr","ACTIVE_0_bf","ACTIVE_0","ACTIVE_0_tf","ACTIVE_0_tardist","ACTIVE_5_snr","ACTIVE_5_bf","ACTIVE_5","ACTIVE_5_tf","ACTIVE_5_tardist",
"bbl058c-a1",2.1499,486,2.1499,486,"bbl058c05_p_PTD",0.98125,504,"bbl058c06_a_PTD",800,-0.71904,1.8775,486,"bbl058c11_p_PTD",1.2244,438,"bbl058c07_a_PTD",800,-0.71904,0.93792,438,"bbl058c09_a_PTD",350,0.4736,,,,,,,1.077,438,"bbl058c10_a_PTD",350,0.4736,,,,1.0118,438,"bbl058c04_a_PTD",800,-0.71904,0.30842,438,"bbl058c12_a_PTD",350,0.4736,
"bbl060c-a1",3.3664,6906,1.6586,4230,"bbl060c08_p_PTD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3664,6906,"bbl060c07_a_PTD",4000,0.78785,,,,,,
"bbl060c-a2",5.7822,6669,4.6493,6906,"bbl060c08_p_PTD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7822,6669,"bbl060c07_a_PTD",4000,0.73747,,,,,,
"bbl060c-a4",4.1244,6906,2.625,6906,"bbl060c10_p_PTD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1244,6906,"bbl060c09_a_PTD",4000,0.78785,,,,,,
"bbl069d-a1",3.8783,579,3.8783,579,"bbl069d03_p_PTD",0.60476,540,"bbl069d04_a_PTD",1000,-0.78836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"bbl071d-a1",1.227,457,0.94367,490,"bbl071d05_p_PTD",1.227,457,"bbl071d06_a_PTD",400,0.19219,0.95313,441,"bbl071d07_p_PTD",0.81341,457,"bbl071d08_a_PTD",400,0.19219,0.7377,457,"bbl071d10_a_PTD",400,0.19219,0.64613,457,"bbl071d09_p_PTD",,,,,,,,,,,,,,,,,,,,,,
"bbl071d-a2",1.7988,604,0.99546,583,"bbl071d05_p_PTD",1.6533,604,"bbl071d06_a_PTD",400,0.59455,1.3709,626,"bbl071d07_p_PTD",1.721,626,"bbl071d08_a_PTD",400,0.59455,1.7988,604,"bbl071d10_a_PTD",400,0.59455,1.2172,604,"bbl071d09_p_PTD",,,,,,,,,,,,,,,,,,,,,,
"bbl071d-a3",1.097,1175,0.45964,1134,"bbl071d05_p_PTD",0.67298,1095,"bbl071d06_a_PTD",400,1.5546,0.9277,1175,"bbl071d07_p_PTD",1.097,1175,"bbl071d08_a_PTD",400,1.5546,1.0653,1095,"bbl071d10_a_PTD",400,1.5546,0.8551,1095,"bbl071d09_p_PTD",,,,,,,,,,,,,,,,,,,,,,
"bbl074g-a1",4.7301,5040,4.2778,9464,"bbl074g03_p_PTD",4.1962,5040,"bbl074g05_a_PTD",4500,0.1635,3.8836,6906,"bbl074g06_p_PTD",2.7747,7152,"bbl074g07_a_PTD",4500,0.1635,,,,,,4.7301,5040,"bbl074g08_p_PTD",,,,,,,,,,,,,,,,,,,,,,
"bbl077f-a1",1.3343,2799,1.2043,2703,"bbl077f11_p_PTD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3343,2799,"bbl077f10_a_PTD",2800,-0.00051534,,,,,,
