"cellid","bestsnr","bestbf","PASSIVE_0_snr","PASSIVE_0_bf","PASSIVE_0","ACTIVE_1_snr","ACTIVE_1_bf","ACTIVE_1","ACTIVE_1_tf","ACTIVE_1_tardist","PASSIVE_1_snr","PASSIVE_1_bf","PASSIVE_1","ACTIVE_2_snr","ACTIVE_2_bf","ACTIVE_2","ACTIVE_2_tf","ACTIVE_2_tardist","ACTIVE_3_snr","ACTIVE_3_bf","ACTIVE_3","ACTIVE_3_tf","ACTIVE_3_tardist","ACTIVE_0_snr","ACTIVE_0_bf","ACTIVE_0","ACTIVE_0_tf","ACTIVE_0_tardist","PASSIVE_2_snr","PASSIVE_2_bf","PASSIVE_2","PASSIVE_3_snr","PASSIVE_3_bf","PASSIVE_3","ACTIVE_4_snr","ACTIVE_4_bf","ACTIVE_4","ACTIVE_4_tf","ACTIVE_4_tardist","PASSIVE_4_snr","PASSIVE_4_bf","PASSIVE_4",
"TAR010c-43-1",0.22342,190,0.1652,3601,"TAR010c10_p_PTD.m",0.22342,190,"TAR010c11_a_PTD.m",500,-1.3959,0.096852,125,"TAR010c12_p_PTD.m",,,,,,,,,,,0.2129,129,"TAR010c09_a_PTD.m",500,-1.3959,,,,,,,,,,,,,,,
"TAR010c-44-1",0.18835,1727,0.066342,411,"TAR010c10_p_PTD.m",0.056614,2130,"TAR010c11_a_PTD.m",500,1.7883,0.069118,3477,"TAR010c12_p_PTD.m",,,,,,,,,,,0.18835,1727,"TAR010c09_a_PTD.m",500,1.7883,,,,,,,,,,,,,,,
"TAR010c-52-1",0.53444,986,0.19597,2450,"TAR010c10_p_PTD.m",0.50528,227,"TAR010c11_a_PTD.m",500,0.97966,0.14811,204,"TAR010c12_p_PTD.m",,,,,,,,,,,0.53444,986,"TAR010c09_a_PTD.m",500,0.97966,,,,,,,,,,,,,,,
"TAR010c-54-1",0.35654,300,-0.026678,2628,"TAR010c10_p_PTD.m",0.21653,139,"TAR010c11_a_PTD.m",500,-0.73697,0.033356,441,"TAR010c12_p_PTD.m",,,,,,,,,,,0.35654,300,"TAR010c09_a_PTD.m",500,-0.73697,,,,,,,,,,,,,,,
"TAR010c-58-1",1.2301,3477,0.42865,986,"TAR010c04_p_PTD.m",1.2301,3477,"TAR010c09_a_PTD.m",500,2.7978,2.2204e-16,204,"TAR010c10_p_PTD.m",-0.013735,129,"TAR010c11_a_PTD.m",500,2.7978,,,,,,,,,,,0.38009,772,"TAR010c12_p_PTD.m",,,,,,,,,,,,
"TAR010c-60-1",0.17149,563,0.05219,563,"TAR010c10_p_PTD.m",0.076424,720,"TAR010c11_a_PTD.m",500,0.17121,0.012048,626,"TAR010c12_p_PTD.m",,,,,,,,,,,0.17149,563,"TAR010c09_a_PTD.m",500,0.17121,,,,,,,,,,,,,,,
"bbl102d-01-1",0.31429,408,-0.02644,1014,"bbl102d09_p_PTD.m",0.15385,1656,"bbl102d10_a_PTD.m",1000,-1.2934,0.31429,408,"bbl102d11_p_PTD.m",0.038565,5838,"bbl102d13_a_PTD.m",1000,-1.2934,,,,,,,,,,,,,,,,,,,,,,,,,
"bbl102d-13-1",0.29357,621,0.13749,540,"bbl102d09_p_PTD.m",0.070148,4114,"bbl102d10_a_PTD.m",1000,-0.68733,0.29357,621,"bbl102d11_p_PTD.m",-0.020813,1014,"bbl102d13_a_PTD.m",1000,-0.68733,,,,,,,,,,,,,,,,,,,,,,,,,
"bbl102d-24-1",0.1024,766,-0.029619,540,"bbl102d09_p_PTD.m",0.1024,766,"bbl102d10_a_PTD.m",1000,-0.38458,0.098005,6261,"bbl102d11_p_PTD.m",0.088611,643,"bbl102d13_a_PTD.m",1000,-0.38458,,,,,,,,,,,,,,,,,,,,,,,,,
"bbl102d-27-1",0.024303,1050,-0.0053022,3576,"bbl102d09_p_PTD.m",1.1102e-15,3703,"bbl102d10_a_PTD.m",1000,0.070389,-0.0092707,2799,"bbl102d11_p_PTD.m",0.024303,1050,"bbl102d13_a_PTD.m",1000,0.070389,,,,,,,,,,,,,,,,,,,,,,,,,
"bbl102d-29-1",0.60111,1904,0.39267,621,"bbl102d09_p_PTD.m",0.20907,3109,"bbl102d10_a_PTD.m",1000,0.92903,0.60111,1904,"bbl102d11_p_PTD.m",0.12869,979,"bbl102d13_a_PTD.m",1000,0.92903,,,,,,,,,,,,,,,,,,,,,,,,,
"bbl102d-31-1",0.7896,1904,0.1958,453,"bbl102d09_p_PTD.m",0.15702,1904,"bbl102d10_a_PTD.m",1000,0.92903,0.7896,1904,"bbl102d11_p_PTD.m",0.1349,851,"bbl102d13_a_PTD.m",1000,0.92903,,,,,,,,,,,,,,,,,,,,,,,,,
"bbl102d-32-1",0.80706,1972,0.36389,4260,"bbl102d09_p_PTD.m",0.24797,3703,"bbl102d10_a_PTD.m",1000,0.97966,0.80706,1972,"bbl102d11_p_PTD.m",0.39096,6955,"bbl102d13_a_PTD.m",1000,0.97966,,,,,,,,,,,,,,,,,,,,,,,,,
"bbl102d-33-1",1.0035,621,0.70273,643,"bbl102d09_p_PTD.m",0.2764,250,"bbl102d10_a_PTD.m",1000,-0.68733,1.0035,621,"bbl102d11_p_PTD.m",0.51055,1167,"bbl102d13_a_PTD.m",1000,-0.68733,,,,,,,,,,,,,,,,,,,,,,,,,
"bbl102d-36-1",0.21967,2269,0.21967,2269,"bbl102d09_p_PTD.m",-0.0028676,1342,"bbl102d10_a_PTD.m",1000,1.1821,0.0030481,3972,"bbl102d11_p_PTD.m",0.081667,882,"bbl102d13_a_PTD.m",1000,1.1821,,,,,,,,,,,,,,,,,,,,,,,,,
"bbl102d-40-1",0.121,521,0.121,521,"bbl102d09_p_PTD.m",0.020744,6715,"bbl102d10_a_PTD.m",1000,-0.94064,-0.025529,3002,"bbl102d11_p_PTD.m",0.012531,1904,"bbl102d13_a_PTD.m",1000,-0.94064,,,,,,,,,,,,,,,,,,,,,,,,,
"bbl102d-52-1",4.2995,1014,1.6239,1014,"bbl102d09_p_PTD.m",0.83534,1050,"bbl102d10_a_PTD.m",1000,0.020058,4.2995,1014,"bbl102d11_p_PTD.m",1.6139,979,"bbl102d13_a_PTD.m",1000,0.020058,,,,,,,,,,,,,,,,,,,,,,,,,
"bbl102d-52-2",4.5332,621,1.736,3002,"bbl102d09_p_PTD.m",0.7691,579,"bbl102d10_a_PTD.m",1000,-0.68733,4.5332,621,"bbl102d11_p_PTD.m",1.5687,559,"bbl102d13_a_PTD.m",1000,-0.68733,,,,,,,,,,,,,,,,,,,,,,,,,
"bbl102d-60-1",2.4104,1050,0.64848,1126,"bbl102d09_p_PTD.m",0.44193,1088,"bbl102d10_a_PTD.m",1000,0.070389,2.4104,1050,"bbl102d11_p_PTD.m",0.69785,1050,"bbl102d13_a_PTD.m",1000,0.070389,,,,,,,,,,,,,,,,,,,,,,,,,
